Compound,Gradient,Abundance A,Abundance B
"2,2,7,7-Tetramethyloctane",0.06,0.06,0.12
"Butane, 2,3-dimethyl-",0.06,0.1,0.16
"Pentane, 2-methyl-",0.06,0.1,0.16
"Pentane, 2,3,3-trimethyl-",0.05,0.13,0.18
"Hexane, 3,3-dimethyl-",0.05,0.13,0.18
Naphthalene,0.05,0.12,0.17
Azulene,0.05,0.12,0.17
"1H-Indene, 1-methylene-",0.05,0.12,0.17
"Cyclohexane, 1,3,5-trimethyl-2-octadecyl-",0.05,0.05,0.1
Pentane,0.05,0.71,0.75
"Butane, 2-methyl-",0.05,0.71,0.75
1-Pentene,0.05,0.08,0.13
"Octane, 3,5-dimethyl-",0.04,0.1,0.15
"Cyclobutane, ethyl-",0.04,0.16,0.2
"Octane, 2,3,7-trimethyl-",0.04,0.09,0.13
"Octane, 4,5-diethyl-",0.04,0.07,0.12
"Heptane, 2,2,4,6,6-pentamethyl-",0.04,0.08,0.12
Pentadecane,0.04,0.09,0.12
Ethylbenzene,0.04,0.15,0.18
"Furan, 2,5-dihydro-",0.03,0.08,0.11
Methacrolein,0.03,0.08,0.11
"Undecane, 5-methyl-",0.02,0.07,0.1
Heptanal,0.02,0.11,0.14
"Hexanal, 3-methyl-",0.02,0.11,0.14
"Hexanal, 5-methyl-",0.02,0.11,0.14
"Heptane, 3,4,5-trimethyl-",0.02,0.1,0.12
"Cyclopentane, methyl-",0.01,0.16,0.17
Eicosane,0.01,0.09,0.1
"Butane,1,2,4-trichloro-heptafluoro-",0.01,0.29,0.3
"Octane, 2,2,6-trimethyl-",0.01,0.28,0.29
"Decane, 2,3,5-trimethyl-",0,0.48,0.48
"Nonane, 4-methyl-5-propyl-",-0.01,0.15,0.14
"Decane, 3,6-dimethyl-",-0.02,0.15,0.13
"Cyclopentane, 1,2,4-trimethyl-, (1Ã ,2Ã ,4Ã¡)-",-0.03,0.03,0
6-Methyl-cyclohex-2-en-1-ol,-0.03,0.03,0
"Pyrrolidine, 1-(1-oxo-2,5-octadecadienyl)-",-0.03,0.03,0
Trilinolein,-0.03,0.03,0
9-Hexadecenoic acid,-0.03,0.03,0
"6-Fluoro-5-(4-methylpiperazin-1-yl)benzo[1,2,5]oxadiazol-1-oxide",-0.03,0.03,0
Fluvalinate,-0.03,0.03,0
"Ethane, 1,1-bis(ethylthio)-",-0.03,0.03,0
"Ethane, 2-chloro-1-ethoxy-1-methoxy-",-0.03,0.03,0
"1,3,5-Trioxane",-0.03,0.03,0
"Stearic acid, 3-(octadecyloxy)propyl ester",-0.03,0.03,0
"Propanoic acid, 2-hydroxy-, pentyl ester",-0.03,0.03,0
"Hexane, 2,3-dimethyl-",-0.03,0.03,0
"Hexane, 3-ethyl-",-0.03,0.03,0
"2H-Pyran, 2-(7-heptadecynyloxy)tetrahydro-",-0.03,0.03,0
i-Propyl 14-methyl-pentadecanoate,-0.03,0.03,0
i-Propyl hexadecanoate,-0.03,0.03,0
Isopropyl Palmitate,-0.03,0.03,0
"Hexane, 1,6-bis(3-nitrobenzylidenamino)-",-0.03,0.03,0
"7,8-Epoxylanostan-11-ol, 3-acetoxy-",-0.03,0.03,0
Phorbol,-0.03,0.03,0
"Benzene, 1-ethenyl-4-ethyl-",-0.03,0.03,0
1-Phenyl-1-butene,-0.03,0.03,0
"Methane-d, trichloro-",-0.03,0.03,0
Methylene Chloride,-0.03,0.03,0
10-Methylnonadecane,-0.03,0.03,0
1-Heptatriacotanol,-0.03,0.03,0
"10,12-Tricosadiynoic acid, methyl ester",-0.03,0.03,0
"Formic acid, 3,7,11-trimethyl-1,6,10-dodecatrien-3-yl est",-0.03,0.03,0
Emylcamate,-0.04,0.04,0
"3-Heptanol, 3,5-dimethyl-",-0.04,0.04,0
"3-Pentanol, 2-chloro-4-methyl-, (R*,R*)-(Ã±)-",-0.04,0.04,0
"Dodecane, 5,8-diethyl-",-0.04,0.21,0.18
"Hexane, 2,2,4-trimethyl-",-0.04,0.04,0
"Pentane, 2,2,4,4-tetramethyl-",-0.04,0.04,0
Heptylcyclohexane,-0.04,0.04,0
"Cyclohexane, ethyl-",-0.04,0.04,0
"Cyclohexane, 1,1""-(1,5-pentanediyl)bis-",-0.04,0.04,0
Benzophenone,-0.04,0.04,0
"1,2,4-Trioxolane, 3,3,5-triphenyl-",-0.04,0.04,0
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",-0.04,0.04,0
"Octane, 6-ethyl-2-methyl-",-0.04,0.04,0
"Sulfurous acid, nonyl 2-pentyl ester",-0.04,0.04,0
"1-Decanol, 2-ethyl-",-0.04,0.04,0
2-Myristynoyl pantetheine,-0.04,0.04,0
"Cyclopentane, 1,2-dimethyl-, cis-",-0.04,0.04,0
"1-Nitro-Ã¡-d-arabinofuranose, tetraacetate",-0.04,0.04,0
"Acetic acid, (3-allyloxy-1,1-dimethylbutyl) ester",-0.04,0.04,0
"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",-0.04,0.04,0
"1-Octene, 3,7-dimethyl-",-0.04,0.04,0
